This file lists functions and variables removed from l3kernel.
Functions which were added with 'experimental' status only are
not listed. The 'Date removed' and 'SVN' columns detail when the
functions are removed from the standard DocStrip extraction for
l3kernel.

Function                                      Date removed     SVN
\toks_gset:cn                                   2011-09-08    2785
\toks_gset:co                                   2011-09-08    2785
\toks_gset:cV                                   2011-09-08    2785
\toks_gset:cx                                   2011-09-08    2785
\toks_gset:Nn                                   2011-09-08    2785
\toks_gset:No                                   2011-09-08    2785
\toks_gset:NV                                   2011-09-08    2785
\toks_gset:Nx                                   2011-09-08    2785
\toks_if_empty_p:c                              2011-09-08    2785
\toks_if_empty_p:N                              2011-09-08    2785
\toks_if_empty:cF                               2011-09-08    2785
\toks_if_empty:cT                               2011-09-08    2785
\toks_if_empty:cTF                              2011-09-08    2785
\toks_if_empty:NF                               2011-09-08    2785
\toks_if_empty:NT                               2011-09-08    2785
\toks_if_empty:NTF                              2011-09-08    2785
\toks_if_eq_p:cc                                2011-09-08    2785
\toks_if_eq_p:cN                                2011-09-08    2785
\toks_if_eq_p:Nc                                2011-09-08    2785
\toks_if_eq_p:NN                                2011-09-08    2785
\toks_if_eq:ccF                                 2011-09-08    2785
\toks_if_eq:ccT                                 2011-09-08    2785
\toks_if_eq:ccTF                                2011-09-08    2785
\toks_if_eq:cNF                                 2011-09-08    2785
\toks_if_eq:cNT                                 2011-09-08    2785
\toks_if_eq:cNTF                                2011-09-08    2785
\toks_if_eq:NcF                                 2011-09-08    2785
\toks_if_eq:NcT                                 2011-09-08    2785
\toks_if_eq:NcTF                                2011-09-08    2785
\toks_if_eq:NNF                                 2011-09-08    2785
\toks_if_eq:NNT                                 2011-09-08    2785
\toks_if_eq:NNTF                                2011-09-08    2785
\toks_new:c                                     2011-09-08    2785
\toks_new:N                                     2011-09-08    2785
\toks_put_left:cn                               2011-09-08    2785
\toks_put_left:co                               2011-09-08    2785
\toks_put_left:cV                               2011-09-08    2785
\toks_put_left:Nn                               2011-09-08    2785
\toks_put_left:No                               2011-09-08    2785
\toks_put_left:NV                               2011-09-08    2785
\toks_put_left:Nx                               2011-09-08    2785
\toks_put_right:cn                              2011-09-08    2785
\toks_put_right:co                              2011-09-08    2785
\toks_put_right:cV                              2011-09-08    2785
\toks_put_right:Nf                              2011-09-08    2785
\toks_put_right:Nn                              2011-09-08    2785
\toks_put_right:No                              2011-09-08    2785
\toks_put_right:NV                              2011-09-08    2785
\toks_put_right:Nx                              2011-09-08    2785
\toks_set_eq:cc                                 2011-09-08    2785
\toks_set_eq:cN                                 2011-09-08    2785
\toks_set_eq:Nc                                 2011-09-08    2785
\toks_set_eq:NN                                 2011-09-08    2785
\toks_set:cf                                    2011-09-08    2785
\toks_set:cn                                    2011-09-08    2785
\toks_set:co                                    2011-09-08    2785
\toks_set:cV                                    2011-09-08    2785
\toks_set:cv                                    2011-09-08    2785
\toks_set:cx                                    2011-09-08    2785
\toks_set:Nf                                    2011-09-08    2785
\toks_set:Nn                                    2011-09-08    2785
\toks_set:No                                    2011-09-08    2785
\toks_set:NV                                    2011-09-08    2785
\toks_set:Nv                                    2011-09-08    2785
\toks_set:Nx                                    2011-09-08    2785
\toks_show:c                                    2011-09-08    2785
\toks_show:N                                    2011-09-08    2785
\toks_use_clear:c                               2011-09-08    2785
\toks_use_clear:N                               2011-09-08    2785
\toks_use_gclear:c                              2011-09-08    2785
\toks_use_gclear:N                              2011-09-08    2785
\toks_use:c                                     2011-09-08    2785
\toks_use:N                                     2011-09-08    2785
